id,source,text
33,"Гиляровский, 'Москва и москвичи', 1926","Как-то, ещё в крепостные времена, на Лубянской площади появился деревянный балаган с немудрящим зверинцем и огромным {{выдел|слоном}}, который и привлекал главным образом публику."
34,"Василий Гулин, 'Тепурджиди в карантине' // Столица, 1997, НКРЯ","Действительно, чего ж не есть её {{выдел|слонам}}, если ни старлей Середенко ею не брезгует, ни майор Красов, ни даже подполковник Логунович, заместитель комбата по воспитательной работе, боевой офицер-афганец, кавалер ордена Красной звезды."
35,"Ефремов, 'Туманность Андромеды', 1956","Вдали налево виднелось стадо черно-белого скота - потомков {{выдел|животных}}, выведенных путём скрещивания яков, коров и буйволов."
36,"Ефремов, 'Час быка', 1968-1969, НКРЯ","Верхом на более длинноногих, напоминавших оленей {{выдел|животных}} скакали дочерна загорелые тормансиане, размахивая топорами или механизмами, аналогичными огнестрельному оружию древности Земли."
37,"Василий Аксенов, 'Круглые сутки нон-стоп' // Новый Мир, 1976, НКРЯ","― Какой самовлюблённый дурак, ― заговорили мы о нём. ― Эдакий индюк! Сколько извилин надо иметь, чтобы превратить себя в такое {{выдел|животное}}?"
38,"'NASA: зонд Phoenix подтвердил наличие {{выдел!воды}} на Марсе' // Gazeta.ru, 2008","""Мы нашли {{выдел|воду""}}, - сказал Уильям Бойнтон из университета Аризоны, один из ведущих учёных проекта."
39,"Б. В. Шергин, 'Словарь поморских и специальных слов и выражений, объяснение собственных имён и названий', 1930-1960, НКРЯ","{{выдел|Вода}} большая - прилив. {{выдел|Вода}} кроткая - отлив, состояние воды во время наибольшего отлива, затишье при смене отливно-приливных течений. {{выдел|Вода}} малая - отлив."
40,Даль,Ладья на четвёртой воде
41,"Лев Толстой, 'Анна Каренина', 1873-1876, source","Все счастливые {{выдел|семьи}} похожи друг на друга, каждая несчастливая семья несчастлива по-своему."
42,"Дон Доминик, 'Игра ""godfather 2""'",Добро пожаловать в семью!
43,"Маяковский, 'Владимир Ильич Ленин'","Единица — вздор, единица — ноль, // один — даже если очень важный — // не подымет простое пятивершковое бревно, // тем более дом пятиэтажный."
44,"Дорошевич, 'Восток и война'",Американские затруднения для эмигрантов {{выдел|ноль}} в сравнении с австралийскими.
45,"Леонид Утёсов, 'Спасибо, сердце!', 1982, НКРЯ","К примеру, в свое время Шостакович подарил нам две песни, которые получили широкую популярность, и обе они написаны в {{выдел|мажоре}}."
46,"Е. Власова, 'Дети и смерть' // Домовой, 2002, НКРЯ","Дети не умеют мыслить {{выдел|категориями}} будущего, для них реально только то, что происходит здесь и сейчас."
47,"Л. Мещанинова, 'Соцпакет из обещаний', 2003, НКРЯ","Легче перечислить те {{выдел|категории}} людей, которым государство ничего не пообещало."
48,"Чехов, 'Беспокойный гость', 1886","Одно стекло в окне было заклеено {{выдел|бумагой}}, и слышно было, как срывавшиеся листья стучали по этой {{выдел|бумаге}}."
49,"Чехов, 'Восклицательный знак', 1885","Ежели в {{выдел|бумаге}} перечислять чиновников, то каждого из них надо запятой отделять…"
50,"Ефремов Василий Сергеевич, 'Эскадрильи летят за горизонт'","К небу потянулись трассы пулеметов и скорострельных пушек, гирляндами повисли светящие авиабомбы."
51,"И. И. Мечников, 'Этюды оптимизма', 1907-1913, НКРЯ","Человек истребляет в настоящее время несколько видов вредных хищников, каковы волки и медведи, и, быть может, не за горами то время, когда автомобили заменят повсюду лошадь, которая сделается редким предметом роскоши."
52,"Белый Андрей, 'Москва', 1924, НКРЯ","Здесь квадратные, чёрные, {{выдел|автомобили}}, зажатые током пролеток, стеснивши разлив, разрываются громко бензинными фырчами; не продвигаясь, стоят, разверзая огромные очи на белую палочку городового, давая дорогу - все тем же: кокоткам, купцам, спекулянтам, гулякам, порядочным дамам, актрисам, студентам."
53,"Василий Аксенов, 'Новый сладостный стиль', 2005, НКРЯ","Калифорния, как известно, весьма насыщена автомобилями."
54,"Юрий Олеша, 'Книга прощания', 1930-1959","Она сообщает ученику, что французский '''алфавит''' состоит из стольких-то и стольких-то букв; когда она хочет продолжить свое преподавание в том же школьном духе, молодой ученый останавливает ее и говорит, что поскольку он окончил и гимназию, и университет, то ему не надо начинать - вот именно - с азов, а лучше сделать так: взять какую-либо книгу и попробовать переводить, останавливаясь на том"
55,"Иван Ефремов, 'Туманность Андромеды', 1956","Когда человечество перешло на единый '''алфавит''', названный линейным по отсутствию сложных знаков, фильмование даже старых книг стало еще более простым и доступным автоматическим машинам."
56,"Андрей Лазарчук, Михаил Успенский, 'Посмотри в глаза чудовищ', 1996","Я потихоньку делал кальки и зарисовки, хотя уже ясно: '''алфавит''' этот нам не по зубам."
57,"Ильф, Петров, 'Двенадцать стульев', 1927, НКРЯ","В тайной своей канцелярии Варфоломеич не стал долго размышлять, раскрыл '''алфавит''' — зеркало жизни — на букву П, быстро нашел требуемый номер и взял с полки пачку ордеров генеральши Поповой."
58,"Е. Р. Дашкова, 'Записки', 1805, НКРЯ","Мое участие в составлении словаря состояло в наборе всех слов, начинающихся на первые три буквы нашей {{выдел|азбуки}}."
59,"И. И. Панаев, 'Барышня', 1844, НКРЯ","И в самом деле, папенька уже купил ей {{выдел|азбуку}} с картинками."
60,"Григорий Ревзин, 'Очерки по философии архитектурной формы', 2002, НКРЯ","Дело в том, что идея отсутствия определенного значения у знака вне контекста является {{выдел|азбукой}} семиотики…"
61,"П. В. Анненков, 'Записки о французской революции 1848 года', 1848, НКРЯ","Принцип {{выдел|ассоциации}} тут, несмотря на все протестации, должен непременно остаться в стороне: {{выдел|ассоциация}} может быть только осуществлена на соединении интересов неравных, ищущих во взаимном содействии как можно большей выгоды, но выгоды не одинаковой для всех."
62,"Ф. М. Достоевский, 'Преступление и наказание', 1866, НКРЯ",Об {{выдел|ассоциациях}} рабочих во Франции она тоже слушала внимательно.
63,"Ф. М. Достоевский, 'Записки из мертвого дома', 1862, НКРЯ","Я заметил, что такие личности водятся и не в одном народе, а во всех обществах, сословиях, партиях, журналах и {{выдел|ассоциациях}}."
64,"Н. Петровский, 'Письмо Стремоухову', 1871, НКРЯ","По всей Средней Азии торговля производится туземцами сообща, более или менее значительными {{выдел|ассоциациями}} торговцев."
65,"К. Д. Ушинский, 'Человек как предмет воспитания. Опыт педагогической антропологии', 1867, НКРЯ","Мы не помним того, что испытывали в младенчестве, не потому, что не сознавали этого в то время, когда испытывали, а потому, что не имели в младенчестве таких определенных {{выдел|ассоциаций}} следов, которые можно было бы запомнить."
66,"В. Х. Кандинский, 'О псевдогаллюцинациях', 1886, НКРЯ","Обыкновенно между отдельными псевдогаллюцинаторными образами не бывает непосредственной логической связи, так что ни внешней, ни внутренней {{выдел|ассоциации}} здесь не усматривается."
67,"А. П. Чехов, 'Драма', 1887, НКРЯ",А любовь? Неужели и она есть продукт {{выдел|ассоциации}} идей? Скажите откровенно: вы любили когда-нибудь?
68,"С. В. Ковалевская, 'Воспоминания детства', 1890, НКРЯ","Стоит мне подумать о нашей детской, как тотчас же, по неизбежной {{выдел|ассоциации}} идей, мне начинает чудиться особенный запах - смесь ладана, деревянного масла, майского бальзама и чада от сальной свечи."
69,"Андрей Белый, 'Петербург', 1913-1914, НКРЯ","Николай Аполлонович, опуская в тарелку глаза, изгонял из памяти докучные {{выдел|ассоциации}}: невский закат и невыразимость розовой ряби, перламутра нежнейшие отсветы, синевато-зеленую глубину; и на фоне нежнейшего перламутра…"
70,"А. С. Грин, 'Человек с человеком', 1913, НКРЯ","Человек зла всегда скажет, что «добро» - понятие относительное, но никогда не скажет страдающий человек того же по отношению к злу. Мы употребляем сейчас с вами понятия очень примитивные и растяжимые; это ничего, так как нам помогает {{выдел|ассоциация}} и около двух коротеньких слов кипит множество представлений."
71,"Л. В. Щерба, 'Опыты лингвистического толкования стихотворений: «Воспоминание» Пушкина', 1922, НКРЯ","Слово полупрозрачная имеет в себе три ярких семантических элемента: «половинный», «сквозь», «смотреть», а потому является в высшей степени выразительным словом, богатым сложными {{выдел|ассоциациями}}."
72,"Чехов, 'Крыжовник', 1898, НКРЯ","Жил он скупо: недоедал, недопивал, одевался бог знает как, словно нищий, и всё копил и клал в '''банк'''."
73,"Артём Тарасов, 'Миллионер', 2004, НКРЯ","Артём Михайлович, вы можете класть наличную валюту в банк?"
74,"Семен Данилюк, 'Бизнес-класс', 2003, НКРЯ","Единственный, кого увидел Коломнин уже на выходе из '''банка''', оказался Панчеев."
75,"Херасков, 'Комар (""Летающий Комар во уши всем журчал..."")', 1764","Безделки от вралей такие ж люди слышат, // Когда клеветники во уши нам поют: // Как люди говорят, и кашляют, и дышат, // Где '''банки''' делают, где любятся, где пьют."
76,"Языков, 'Сержант Сурмин (""Был у меня приятель, мой сосед..."")', 1839, НКРЯ","Я знал его, собой он был картина: // Высок и статен, боек и умен, // И не буян, и всем хорош был он; // Лишь та беда, что молодец дружился // Со всякой дрянью, неразборчив был // По этой части; только и ходил // Что на картеж, и к '''банку''' пристрастился // Он всей душой, и службу позабыл!"
77,"Леонид Малков, 'Собственность как товар' // Бизнес-журнал, 2003, НКРЯ","Менеджер, который не привёл фирму к процветанию, держит в руках не акции, а пустые бумажки."
78,Жуковский,"И налетит с отважностью {{выдел|орла}} на ястребов, терзающих отчизну."
79,Боборыкин,"У стёртой монеты не распознаешь, где значится '''орёл''', где решётка"
80,Лесков,Парень быстрым движением руки покрыл монету своей ладонью и спросил: «'''Орёл''' или решётка?»
81,"А. Т. Аверченко, 'Смерть девушки у изгороди', 1911, НКРЯ","Мы уже миновали задумчивые, зеленые поля и въехали в шумный, громадный {{выдел|город}}."
82,"Чехов, 'Гриша', 1886","Если взглянуть под кровать, то увидишь куклу с отломанной {{выдел|рукой}} и барабан, а за нянькиным сундуком очень много разных вещей: катушки от ниток, бумажки, коробка без крышки и сломанный паяц."
83,"Александр Проханов, 'Господин Гексоген', 2001, НКРЯ","Сильная {{выдел|рука}} его, охваченная белоснежной манжетой с малахитовой запонкой, уперлась локтем в стол."
84,"Евгений Прошкин, 'Механика вечности', 2001, НКРЯ","Его правая {{выдел|рука}} висела плетью, а левая сжимала знакомое по прошлой встрече ружье."
85,"А. И. Деникин, 'Очерки русской смуты. Том II. Борьба генерала Корнилова ', 1922, НКРЯ","{{выдел|Рука}} в кармане сжимает крепче рукоятку револьвера, который, как оказалось впоследствии… не действовал."
86,"Юрий Коваль, 'Лабаз', 1972, НКРЯ",Из две́ри вы́сунулась вдруг кака́я-то крива́я {{выдел|рука́}} в лохма́той ва́режке и ки́нула вниз ба́нку сгущёнки.
87,"Людмила Петрушевская, 'Маленькая волшебница' // Октябрь, 1996, НКРЯ","Ря́дом с де́дом валя́лась его {{выдел|су́мка}}, в кото́рой находи́лось что́-то бугри́стое."
88,"Виктор Слипенчук, 'Зинзивер', 2001, НКРЯ","У меня была {{выдел|сумка}} (через плечо), набитая всевозможными подарками, и отдельно - три бутылки армянского коньяка."
89,"Рудольф Самусев, Юрий Селин, 'Анатомия человека', 2003, НКРЯ","Суставная {{выдел|сумка}} прикрепляется по краю суставных поверхностей и укрепляется связками, идущими от лодыжек к костям стопы."
90,"Рудольф Самусев, Юрий Селин, 'Анатомия человека', 2003, НКРЯ","Позади желудка находится щелевидное пространство брюшинной полости - сальниковая {{выдел|сумка}}, отделяющая его от органов, располагающихся на задней брюшной стенке: верхнего полюса левой почки, надпочечника и поджелудочной железы."
91,"Чехов, 'Степь', 1888","Впрочем, на одной стене в серой деревянной раме висели какие-то правила с двуглавым орлом, а на другой, в такой же раме, какая-то гравюра с надписью: «Равнодушие {{выдел|человеков}}». К чему {{выдел|человеки}} были равнодушны — понять было невозможно, так как гравюра сильно потускнела от времени и была щедро засижена мухами."
92,"Николай Лесков, 'Некуда', 1864, НКРЯ","Розанов крикнул {{выдел|человека}} и велел скорее запрячь лошадей, а сам стал наскоро одеваться."
93,"Гоголь, 'Мёртвые души', НКРЯ","И не хитрый, кажись, дорожный снаряд, не железным схвачен винтом, а наскоро живьём с одним {{выдел|топором}} и долотом снарядил и собрал тебя ярославский расторопный мужик."
94,"Тургенев, 'Бирюк', 1847","Он достал из-за пояса {{выдел|топор}}, присел на́ пол и начал колоть лучину."
95,"Л. Н. Толстой, 'Война и мир', 1869","Оружие его составляли мушкетон, который он носил больше для смеха, пика и {{выдел|топор}}, которым он владел, как волк владеет зубами, одинаково легко выбирая ими блох из шерсти и перекусывая толстые кости."
96,ГОСТ 18578-89 Топоры строительные. Технические условия,Лезвие {{выдел|топора}} и ось симметрии топорища должны лежать в одной плоскости
97,"Виктор Некрасов, 'В окопах Сталинграда', 1946","Я больше люблю дорический. Он строже, лаконичнее. Ордер состоит из стилобата, колонны и антаблемента. Колонна из фуста, эхина и {{выдел|абака}}."
98,"Ю. О. Домбровский, 'Факультет ненужных вещей', 1978, НКРЯ","Счетовод щёлкнул последний раз какой-то костяшкой, вздохнул и бросил {{выдел|счёты}} на стол."
99,"Г. П. Данилевский, 'Воля', 1863, НКРЯ","Илья ходил в угоду отцу иной раз в контору, проверял денежные {{выдел|счёты}} и книги всякого рода."
100,"Н. Г. Чернышевский, 'Что делать?', 1863, НКРЯ","Вы видите, надобно вести {{выдел|счёты}} и смотреть за тем, чтобы не было лишних расходов."
101,"Л. Н. Толстой, 'Война и мир', 1867-1869, НКРЯ","Вечером этого дня Николай никуда не поехал в гости и остался дома, с тем чтобы покончить некоторые {{выдел|счёты}} с продавцами лошадей."
102,"Тургенев, 'Дым', 1867, НКРЯ",Вещи их были уложены и {{выдел|счёты}} уплачены с утра.
103,"П. В. Анненков, 'Письма к И.С.Тургеневу', 1852-1874, НКРЯ",Я не вхожу с Вами в {{выдел|счёты}} и охотно прощаю числящуюся за Вами недоимку…
104,"Г. А. Гершуни, 'Из недавнего прошлого', 1908, НКРЯ",{{выдел|Счёты}} с жизнью кончены и кончены хорошо!
105,"В. В. Крестовский, 'Панургово стадо', 1869, НКРЯ","- Умоляю вас, оставимте на время наши личные {{выдел|счёты}}: судить меня вы успеете и после; наперёд подумаемте лучше о нашем общем деле!"
106,"А. Н. Островский, 'Бесприданница', 1879, НКРЯ","Я немножко виноват перед ней, то есть так виноват, что не должен бы и носу к ним показывать; ну, а теперь она выходит замуж, значит, старые {{выдел|счёты}} покончены, и я могу опять явиться поцеловать ручки у ней и у тётеньки."
107,"Пушкин, 'Моя родословная', 1830",Бояр старинных я {{выдел|потомок}}.
108,"М. Волоховский, 'Мой первый завод' // Химия и жизнь, 1965, НКРЯ","Охтинцы хорошо понимали, что значит сохранить для страны ещё один завод. Начался {{выдел|демонтаж}} оборудования."
109,"'Правила технической эксплуатации электроустановок потребителей', 2003, НКРЯ","Частота генерируемых колебаний должна периодически по графику, а также после каждого ремонта, связанного с {{выдел|демонтажом}} колебательного контура или заменой его деталей, проверяться на соответствие паспортным данным."
110,"Костомаров, 'Русская история в жизнеописаниях ее главнейших деятелей. Выпуск пятый: XVII столетие', 1862-1875, НКРЯ","Народ узнал, что идёт дело о {{выдел|сокраще́нии}} каза́чества и о сужении границ казацкой земли."
111,"Юрий Трифонов, 'Предварительные итоги', 1973, НКРЯ","Кто-то мне сказал, что у Гартвига неприятности в институте и ему вроде бы даже грозит {{выдел|увольнение}}."
112,"Василий Гроссман, 'Жизнь и судьба', 1960, НКРЯ","Штруму казалось, что организационные дела ― приём новых сотрудников, планы, размещение заказов на аппаратуру, совещания ― займут всё его время."
113,"И. А. Архипова, 'Музыка жизни', 1996, НКРЯ","Иногда нам передавали заказы со стороны ― от мастерских, заваленных работой."
114,"А. И. Полежаев, 'Сашка («Мой дядя — человек сердитый…») (1825) {{НКРЯ}}'","Нева̀ широ̀кая̀ струи́лась // Близ по̀стоя̀лого̀ двора̀, // И недале́ко се́ребри́лось // Изо̀браже́ние́ Петра̀."
115,"П. Н. Лебедев, 'Русское общество и русские национальные лаборатории', 1911, НКРЯ","Дэви, исследуя явления при {{выдел|прерывании}} электрического тока, впервые наблюдал «вольтову дугу», которой мы теперь повсюду пользуемся для освещения…"
116,"Л. П. Якубинский, 'О диалогической речи', 1923, НКРЯ","Но в некотором отношении можно говорить, что именно взаимное {{выдел|прерывание}} характерно для диалога вообще."
117,"В. В. Гуров, В. О. Чуканов, 'Архитектура и организация ЭВМ'","Каждому запросу {{выдел|прерывания}} в компьютере присваивается свой номер (тип {{выдел|прерывания}}), используемый для определения адреса обработчика…"
118,"Л. М. Каганович, 'Памятные записки', 1991, НКРЯ","Одежда ― штаны, запаски, рубахи, свитка, а зимой {{выдел|кожух}} (у бедняков это было только название кожуха) ― была сшита из своей деревенской ткани и овчины."
119,"Евгений Носов, 'Усвятские шлемоносцы', 1977, НКРЯ","Касьянов узелок с едой, черный закопченный котелок, оброненный в траву ременный кнут, потом подбиралась и к самому Касьяну, тыкалась мордой в {{выдел|кожух}}, брезгливо сфыркивая от запаха овчины, тянулась мягкими губами к его старенькой кепке, пропахшей конюшней, овсом и сеном."
120,"Анатолий Жигулин, 'Черные камни', 1988, НКРЯ","Вася снял {{выдел|кожух}} лебедки, закрывавший несложную систему стальных шестерен."
121,"Анатолий Азольский, 'Лопушок', 1998, НКРЯ","Тогда Шишлин как-то воровато усмехнулся, расстегнул пиджак, рубашку, поднял майку, обнажил {{выдел|живот}}."
122,"Юрий Домбровский, 'Факультет ненужных вещей', 1978, НКРЯ","Корнилов стоял молча и зло, докрасна растирал ледяной водой {{выдел|живот}}, грудь и шею."
123,"Нодар Джин, 'Учитель', 1980-1998, НКРЯ","Хотя съел я пока лишь ветку тархуна, поднялось чувство, будто набил {{выдел|живот}} пресной селёдкой."
124,"Владимир Маканин, 'Кавказский пленный', 1995, НКРЯ","И тут запинающемуся Рубахину приходится тяжело лгать: мол, ему кажется, у стрелка́ {{выдел|живот}} скрутило."
125,"Чехов, 'Скрипка Ротшильда', 1894, НКРЯ","Сами изволите знать, если б у неё, скажем, {{выдел|живот}} болел или какая внутренность, ну, тогда порошки и капли, а то ведь в ней простуда!"
126,"Светлана Бабаева, 'Олег Газманов: «Я пою офицерам...»' // Известия, 2003, НКРЯ","Я думаю, в этом и есть противоречие между теми, кто служит, {{выдел|живота}} не жалея, как в песне поется, и теми, кто управляет теми, кто служит."
127,"Диомидов Сергей, 'Указатель порядка архиерейских служений', 1915, НКРЯ","По прочтении молитвы, архиерей или произносит речь или говорит: «Благословите мя отцы святии и братия, и простите мне грешному, елика согреших в сей день и во вся дни {{выдел|живота}} моего: словом, делом, помышлением и всеми моими чувствы», и после этого кланяется в землю."
128,"Николай II, 'Дневники 1904-1907', 1904-1907, НКРЯ",В церкви 1-й дивизии была отслужена {{выдел|вечерня}} и затем церем. маршем прошли: Павловское и Николаевское кавал. училища и Измайловский полк.
129,"Валентин Курицын, 'Томские трущобы', 1906, НКРЯ","На колокольне Николаевской церкви раздался мелкий перезвон, возвещающий конец {{выдел|вечерни}}."
130,"Тургенев, 'Бежин луг', 1851",С самого раннего утра небо ясно; утренняя {{выдел|заря}} не пылает пожаром: она разливается кротким румянцем.
131,"А. Н. Толстой, 'Бывалый человек', 1927, НКРЯ","Тишина была такая, что слышно за версту, как потыркивает сверчок; а еще далее, в лощинке, в стороне, где недавно догорела вечерняя {{выдел|заря}}, - хрипел дергач."
132,"А. А. Бестужев-Марлинский, 'Письма из Дагестана', 1831, НКРЯ","С ночи до утра, с {{выдел|зари}} до вечера солдаты не отходят от котлов… спят подле."
133,"Юрий Трифонов, 'Предварительные итоги', 1970, НКРЯ","Подмечено ловко; тут и глупая {{выдел|тяга}} к путешествиям, и недостаточная интеллигентность, и поистине пиратская страсть к накопительству."
